method,r_squared,rmse,bias,correlation,n_samples,r2_rank,rmse_rank,bias_rank,overall_rank
MOD09GA,0.3704008658474787,0.180380762697789,0.07621581002370373,0.6086056735255421,615,2.0,1.0,1.0,1.3333333333333333
MOD10A1,0.3751704427461187,0.18817845651796103,0.09306154525746363,0.6125115858056227,490,1.0,2.0,2.0,1.6666666666666667
MCD43A3,0.189111798647489,0.267185614987731,0.1974915002761011,0.4348698640369197,1190,3.0,3.0,3.0,3.0
