Analysis_Type,Sample_Size,Pearson_r,Pearson_p,R_squared,Spearman_r,BC_AOD_mean,Albedo_mean,Albedo_std
Original,298,-0.22395253602741794,9.642543445099945e-05,0.05015473839311193,-0.26080799339149346,0.014343172607483223,0.29068712136538377,0.13214700283961764
Filtered_2.5σ,292,-0.2135347844227504,0.00023718243469077514,0.045597104158470486,-0.24080576258067232,0.014540323071462328,0.2823432730390835,0.11894313942757821
