method,r_squared,rmse,bias,correlation,n_samples,r2_rank,rmse_rank,bias_rank,overall_rank
MOD09GA,0.25788003302450446,0.12348991079526803,0.027671867828144164,0.5078188978607476,252,3.0,1.0,1.0,1.6666666666666667
MOD10A1,0.42687626103270776,0.14438325228980808,0.06170365775186405,0.6533576823093976,139,1.0,2.0,2.0,1.6666666666666667
MCD43A3,0.4123548145398393,0.15010356712711254,0.07043683521420123,0.6421485922587071,332,2.0,3.0,3.0,2.6666666666666665
