,n_samples,r,p,r_squared,rmse,mae,bias,med_abs_error,std_error,mean_rel_bias,mean_abs_rel_error,slope,intercept,slope_stderr,mean_obs,mean_pred,std_obs,std_pred,within_5pct,within_10pct,within_15pct
MCD43A3,987.0,0.3829267043742733,8.015122916135823e-36,0.1466328609229421,0.2589940592864903,0.21368946301925024,-0.1887512664640324,0.20499999999999996,0.1773439656540866,-27.32544238815491,40.37533954246436,0.7841166329308893,0.25514415091041087,0.06027189617085742,0.49629179331306994,0.3075405268490375,0.19073852087881282,0.09314797076085601,4.86322188449848,8.308004052684904,13.677811550151976
MOD09GA,501.0,0.6433754594673601,7.014884073260311e-60,0.4139319818448367,0.17728893541555169,0.1253014838859481,-0.07517660252676646,0.0843607686,0.1605610321756566,-7.143628930798401,27.867116163219826,0.687949460239529,0.20503355215695845,0.03664508903951388,0.4913173652694611,0.4161407627426947,0.19597614084954257,0.18327834666781195,18.163672654690618,29.94011976047904,43.51297405189621
MOD10A1,389.0,0.6324522738104816,7.550253233089133e-45,0.3999958786480484,0.1785551479908546,0.12790488431876607,-0.07839331619537275,0.08499999999999996,0.16042577364603325,-8.260770654254962,26.155060989838162,0.6565998984102948,0.23523182274790472,0.04087847512901778,0.535115681233933,0.4567223650385604,0.1904690448730977,0.18346420828293658,16.709511568123396,33.67609254498715,45.75835475578406
