date,bc_aod_regional,year,month,day_of_year,albedo_mean,albedo_std,pixel_count,glacier_fraction_mean,season
2023-08-03,0.0381434447,2023,8,215,0.11510424807247782,0.039454900638332686,24,0.8592833333336031,August
2022-09-12,0.03764522315,2022,9,255,0.1794,0.021454603235669497,5,0.739760000000542,September
2024-08-04,0.03621289924,2024,8,217,0.24754060862873195,0.05353084976210978,10,0.9047200000002602,August
2024-08-05,0.03522485256,2024,8,218,0.31091421032040695,0.09212452013971131,18,0.8908000000001888,August
2023-08-07,0.03485037114,2023,8,219,0.10781643309422477,0.03140466544121597,29,0.8875724137932438,August
2023-08-31,0.03484269204,2023,8,243,0.161,0.01053565375285273,3,0.861733333333516,August
2023-07-07,0.0335157572,2023,7,188,0.23600000000000002,0.04364630568559039,11,0.8549454545456832,July
2024-08-16,0.03314584594,2024,8,229,0.2262222222222222,0.04554058019442049,9,0.8123555555558482,August
2023-06-12,0.03276799258,2023,6,163,0.4179194557883278,0.09800416234354624,22,0.8315818181820791,June
2023-07-12,0.03265089147,2023,7,193,0.22033333333333335,0.027900255239410306,12,0.8435333333336054,July
2023-07-31,0.03207677631,2023,7,212,0.15707292209353654,0.03742889019051676,29,0.8640000000002652,July
2023-09-04,0.0318927538,2023,9,247,0.16766666666666666,0.014541893503483885,6,0.9004666666668671,September
2024-07-21,0.02916322223,2024,7,203,0.3550598308627286,0.05562789412748595,22,0.8363636363640606,July
2023-08-17,0.02906707994,2023,8,229,0.14387783711445187,0.02573493661219958,16,0.887275000000204,August
2024-07-22,0.02880170491,2024,7,204,0.42508268136016786,0.073529364684216,25,0.8554080000002373,July
2024-09-12,0.0284326511,2024,9,256,0.18546153846153846,0.024673249294919194,13,0.8553846153848639,September
2023-08-24,0.02821320871,2023,8,236,0.15966666666666665,0.012013880860626732,3,0.861733333333516,August
2023-07-25,0.02763369732,2023,7,206,0.15733333333333333,0.008386497083606094,3,0.9384000000002075,July
2023-08-23,0.02603606963,2023,8,235,0.15225,0.0092150239645194,4,0.8476000000002779,August
2023-08-01,0.02550978038,2023,8,213,0.15694453673339065,0.030804163817428624,20,0.8962000000001883,August
2024-07-20,0.02530987077,2024,7,202,0.42750966095964216,0.08690892113799348,36,0.8627444444446701,July
2023-06-14,0.02425248679,2023,6,165,0.3275,0.05060632371551997,4,0.7756000000005183,June
2023-06-10,0.02358678442,2023,6,161,0.31225,0.05396526660732809,4,0.7756000000005183,June
2024-08-07,0.02333180759,2024,8,220,0.26487499999999997,0.04221183821766454,8,0.8855500000003094,August
2023-08-02,0.02289121996,2023,8,214,0.15392850303285985,0.03272120611750928,32,0.88830000000024,August
2023-07-19,0.02283850941,2023,7,200,0.16982870254321722,0.024438646799699402,22,0.8728000000002866,July
2022-09-03,0.02157011353,2022,9,246,0.18559307583925824,0.027269312862239995,34,0.8594705882355773,September
2022-09-11,0.0215616651,2022,9,254,0.19581725558619767,0.03199561214262227,42,0.8930000000001959,September
2023-09-05,0.02132993458,2023,9,248,0.15940000000000001,0.028675773747189454,5,0.9612800000001132,September
2024-08-17,0.02124328736,2024,8,230,0.2217,0.04478107239051387,10,0.8311200000002632,August
2023-07-06,0.02094496998,2023,7,187,0.287464258413119,0.07119957118388062,20,0.7838600000004157,July
2023-07-16,0.02094492503,2023,7,197,0.19464488486673073,0.045734485911644966,24,0.7757333333337121,July
2024-07-29,0.02066561833,2024,7,211,0.3514,0.04703710119564012,10,0.8276400000002792,July
2023-08-22,0.0205742761,2023,8,234,0.15225,0.0092150239645194,4,0.8476000000002779,August
2023-07-04,0.02019047128,2023,7,185,0.27240000000000003,0.050737231562893406,10,0.8166000000003161,July
2022-08-15,0.01990985206,2022,8,227,0.2512338327047819,0.05937835648060066,23,0.9174434782610963,August
2022-08-20,0.01990342271,2022,8,232,0.25225000000000003,0.052916958958868235,12,0.891466666666863,August
2023-07-08,0.01964088493,2023,7,189,0.24614598369863125,0.0649855841548234,25,0.8602080000002458,July
2024-07-19,0.01929630851,2024,7,201,0.3615028933944183,0.09818892755363921,29,0.8640551724140385,July
2023-07-28,0.01836714101,2023,7,209,0.157,0.013914021704740868,6,0.9677333333334276,July
2023-07-18,0.01833957095,2023,7,199,0.18425,0.015966109941581468,4,0.7940000000001108,July
2024-08-15,0.01831484572,2024,8,228,0.42935207972982764,0.24157108109198341,8,0.8083500000004251,August
2022-09-15,0.01829230844,2022,9,258,0.20366666666666666,0.03511884584284245,3,0.8005333333337333,September
2023-08-30,0.01826053455,2023,8,242,0.16066666666666665,0.011015141094572203,3,0.861733333333516,August
2023-08-16,0.01824653263,2023,8,228,0.13086359593744298,0.038643856056311966,25,0.8777120000001282,August
2024-09-11,0.01765464066,2024,9,255,0.1859230769230769,0.02465583615313536,13,0.8553846153848639,September
2024-08-06,0.01761371131,2024,8,219,0.26425,0.04271751062837949,8,0.8855500000003094,August
2024-09-08,0.01668803316,2024,9,252,0.18391134124118555,0.06215707083544853,40,0.8722300000001786,September
2023-07-05,0.01663608463,2023,7,186,0.24984615384615386,0.047238483876754056,13,0.8553846153848639,July
2024-08-14,0.01643776999,2024,8,227,0.316,,1,1.0,August
2024-08-02,0.01601830784,2024,8,215,0.2209327928578404,0.030729757471220105,24,0.8544166666669843,August
2023-09-01,0.01570404424,2023,9,244,0.1781256349425155,0.029887921832207644,27,0.8799555555556957,September
2023-07-27,0.01564597758,2023,7,208,0.18764019469737706,0.042091528391784316,5,0.8224800000004265,July
2024-08-23,0.01524870192,2024,8,236,0.2257550558958096,0.03963557292247182,37,0.8373297297300031,August
2023-07-09,0.0148021308,2023,7,190,0.2631088900530451,0.0657881417792507,30,0.8727066666668986,July
2024-08-10,0.01470545482,2024,8,223,0.34040937997881104,0.0703278341959338,17,0.9223764705882583,August
2024-08-08,0.01443716886,2024,8,221,0.3470172913674621,0.15418870703613158,12,0.8152666666670987,August
2024-07-18,0.01437940418,2024,7,200,0.3459230769230769,0.027013766670784544,13,0.8553846153848639,July
2024-08-24,0.01431675266,2024,8,237,0.23842857142857143,0.03869908329171436,7,0.7618285714288952,August
2023-08-25,0.01418338537,2023,8,237,0.16077071067457346,0.02993469926640123,13,0.8146153846156642,August
2024-08-11,0.01372033174,2024,8,224,0.31310477458331026,0.06514219295524988,17,0.8835529411768087,August
2024-08-12,0.01368928634,2024,8,225,0.22546101859542433,0.0424812894305302,8,0.9191500000002573,August
2023-07-26,0.01323037923,2023,7,207,0.15733333333333333,0.008386497083606094,3,0.9384000000002075,July
2023-07-23,0.01302515336,2023,7,204,0.16203506115213592,0.03268755892767582,18,0.8538222222224877,July
2023-06-09,0.01300354319,2023,6,160,0.347,0.056502844429032306,8,0.8178000000003935,June
2023-08-09,0.01285335918,2023,8,221,0.150125,0.012275847366737197,8,0.8951500000000557,August
2023-07-03,0.01261685181,2023,7,184,0.24996878637619996,0.05409647131020386,19,0.8043157894740599,July
2023-08-27,0.01203964698,2023,8,239,0.16411816172905552,0.030499489212078276,17,0.8576470588237892,August
2022-08-19,0.01190440921,2022,8,231,0.2504166666666667,0.05252438106308924,12,0.891466666666863,August
2024-07-10,0.01164836948,2024,7,192,0.4534680826937216,0.0883576406618632,30,0.8700666666668516,July
2023-07-21,0.011142653,2023,7,202,0.19641356525236056,0.024735135145781385,19,0.8751578947370799,July
2022-09-29,0.01100716492,2022,9,272,0.16922222222222225,0.02876533407496677,9,0.8329333333335005,September
2024-08-13,0.01082870873,2024,8,226,0.316,,1,1.0,August
2023-07-29,0.01072137069,2023,7,210,0.14839835996046144,0.0262913287221672,24,0.9007166666668116,July
2023-07-11,0.01064000067,2023,7,192,0.2215,0.029053242660517422,12,0.8435333333336054,July
2024-09-13,0.01063845818,2024,9,257,0.18525,0.028097638205501773,12,0.8433333333336025,September
2022-08-16,0.01046320429,2022,8,228,0.26745547391121505,0.07704335243430498,20,0.8751200000002808,August
2023-06-28,0.01043738821,2023,6,179,0.32475,0.03643601697954008,4,0.8033000000000791,June
2023-07-22,0.010378888,2023,7,203,0.0821212163592192,0.04018325296100345,22,0.842109090909414,July
2022-08-14,0.01027855704,2022,8,226,0.30546691698769013,0.09188139599524446,30,0.8467466666669348,August
2024-08-09,0.01025885439,2024,8,222,0.2879622954352433,0.05964387116671167,17,0.8825647058826679,August
2023-09-20,0.01023827913,2023,9,263,0.1335,0.00777817459305203,2,0.9814000000000636,September
2023-08-26,0.0102109689,2023,8,238,0.21024157418386286,0.06396941297308961,17,0.8279764705884711,August
2022-08-21,0.01017241698,2022,8,233,0.24783333333333335,0.05248520715112945,12,0.891466666666863,August
2024-07-04,0.01000096421,2024,7,186,0.38355718683352846,0.08280566098158902,16,0.7896500000004145,July
2024-07-30,0.009840020785,2024,7,212,0.3405,0.06161400582891616,8,0.859350000000199,July
2023-07-10,0.009809353222,2023,7,191,0.23248217812458913,0.03933134355673944,17,0.8620941176473315,July
2024-09-10,0.009792687538,2024,9,254,0.18308333333333335,0.019897274063336298,12,0.8769666666668829,September
2023-09-17,0.009660789854,2023,9,260,0.14675,0.02714620906621524,4,0.9522000000001496,September
2022-08-24,0.009639217741,2022,8,236,0.23658333333333334,0.049376951438230086,12,0.891466666666863,August
2024-07-09,0.009585849746,2024,7,191,0.40716771735114626,0.07262959120055035,37,0.8598702702704885,July
2022-09-01,0.009503107532,2022,9,244,0.17635594299650256,0.06283136306921111,34,0.8678235294120337,September
2022-08-10,0.009489037611,2022,8,222,0.28984615384615386,0.05698515326212339,13,0.8553846153848639,August
2023-06-27,0.00937559717,2023,6,178,0.32575,0.03606822239405024,4,0.8033000000000791,June
2024-07-11,0.009365917475,2024,7,193,0.4188040735583004,0.07942606533747126,31,0.8379741935486432,July
2022-08-17,0.009296873223,2022,8,229,0.26261659229104134,0.06727635970693675,24,0.8791500000002017,August
2024-09-03,0.009189503059,2024,9,247,0.17338534413913004,0.059205062132218836,50,0.8506080000003027,September
2022-09-16,0.0091573797,2022,9,259,0.22299999999999998,0.021213203435596434,2,0.9026000000002818,September
2023-07-20,0.008902992886,2023,7,201,0.19802696277583562,0.04357188070466849,21,0.8145142857146362,July
2023-06-04,0.008828128021,2023,6,155,0.34299999999999997,0.05037525847741791,7,0.7930285714290293,June
2023-08-28,0.008820150089,2023,8,240,0.1786960851383829,0.02388795791526612,17,0.8310352941179207,August
2024-07-16,0.008770790994,2024,7,198,0.3669900157604643,0.09145382750794115,55,0.8513018181820521,July
2022-08-23,0.008764293017,2022,8,235,0.2541818181818182,0.05124025406224717,11,0.8948000000001664,August
2022-09-07,0.008667438013,2022,9,250,0.1470613358126009,0.05539038494241064,31,0.9050580645162907,September
2024-08-18,0.008559821452,2024,8,231,0.16121832741687742,0.08395776937772248,18,0.8688000000002645,August
2024-07-12,0.008291508655,2024,7,194,0.4156842298513376,0.09796144806798303,17,0.7968000000003969,July
2022-08-25,0.008271174019,2022,8,237,0.2374166666666667,0.046036464466833925,12,0.8554333333335586,August
2022-08-11,0.008216788881,2022,8,223,0.3173973159136466,0.11781880550431548,26,0.8734615384617006,August
2024-07-14,0.008133862543,2024,7,196,0.33495673191179987,0.058286866312182835,18,0.7835777777781687,July
2024-08-25,0.008062508346,2024,8,238,0.25985714285714284,0.041615015605061624,7,0.7618285714288952,August
2023-06-03,0.008009381731,2023,6,154,0.34314285714285714,0.050323713997241795,7,0.7930285714290293,June
2022-08-18,0.008001641829,2022,8,230,0.2868164983494628,0.08583864248171959,38,0.8741368421054748,August
2024-08-28,0.007907265408,2024,8,241,0.2333333333333333,0.04657415071852103,12,0.8433333333336025,August
2023-06-08,0.007837796375,2023,6,159,0.347125,0.05633430190770603,8,0.8178000000003935,June
2024-07-07,0.007808169281,2024,7,189,0.5352471402018917,0.09560812199730064,37,0.8402270270272906,July
2024-08-01,0.007739326958,2024,8,214,0.33111107164360065,0.11665165990678426,23,0.880747826087143,August
2024-07-17,0.007699825752,2024,7,199,0.452215484557021,0.10460483493333683,33,0.8257090909094569,July
2023-07-30,0.007661324356,2023,7,211,0.156321392072551,0.021272813692829604,32,0.8787750000001552,July
2023-08-29,0.007610893238,2023,8,241,0.15797582357282589,0.03343810505517194,22,0.8803272727275172,August
2023-06-13,0.007552811431,2023,6,164,0.3275,0.05317580903631525,4,0.7756000000005183,June
2023-09-02,0.007471830515,2023,9,245,0.15827611068990288,0.031349409946548695,33,0.8679636363638686,September
2023-06-21,0.007411235033,2023,6,172,0.47150000000000003,0.19586857838867366,2,0.9374000000003182,June
2022-09-28,0.007388634628,2022,9,271,0.17840374698397976,0.05316941828645721,34,0.8876588235296003,September
2023-09-03,0.007308843553,2023,9,246,0.16766666666666666,0.014787382008545893,6,0.9004666666668671,September
2023-07-17,0.007236849795,2023,7,198,0.19419999999999998,0.019651971911235782,5,0.7962400000002015,July
2022-07-01,0.007215027725,2022,7,182,0.5649431806854094,0.08902429674339087,37,0.8450162162164807,July
2023-09-21,0.007211266794,2023,9,264,0.6229841630151065,0.16957156419293368,26,0.8512307692310331,September
2023-06-01,0.007188382635,2023,6,152,0.3427142857142857,0.04969478270977171,7,0.7930285714290293,June
2022-09-06,0.007152635479,2022,9,249,0.18076394829538933,0.03492303574207207,42,0.8502380952383751,September
2022-08-13,0.007062992442,2022,8,225,0.29326452698772465,0.08064190668497376,25,0.8554080000002373,August
2023-06-24,0.00699220221,2023,6,175,0.333,,1,0.8748000000006364,June
2022-09-09,0.006939436768,2022,9,252,0.1992857142857143,0.018400310556385413,7,0.8101142857147218,September
2022-08-22,0.006928206262,2022,8,234,0.26700699044200066,0.0722693233863227,24,0.8734500000002109,August
2024-08-19,0.006839233715,2024,8,232,0.256108005155083,0.08763265531525721,19,0.7502947368425155,August
2024-06-15,0.006806146305,2024,6,167,0.46644773435227466,0.062107517943152606,11,0.9529454545453455,June
2024-07-03,0.006786701812,2024,7,185,0.36100000000000004,0.027267196408871958,5,0.8436800000003789,July
2023-06-26,0.006725791348,2023,6,177,0.3569382629258977,0.06581530088137419,11,0.7936000000003346,June
2023-06-29,0.006705663911,2023,6,180,0.3245,0.03642801120017397,4,0.8033000000000791,June
2023-09-18,0.006687134344,2023,9,261,0.14400000000000002,0.028717010057919795,4,0.9522000000001496,September
2024-07-13,0.006666363613,2024,7,195,0.4534241339345433,0.10669774019693166,35,0.8750514285716195,July
2024-07-31,0.006599096282,2024,7,213,0.32657142857142857,0.06079982769399144,7,0.8420000000001704,July
2022-09-05,0.006583855717,2022,9,248,0.20072727272727275,0.022231018461109284,11,0.873418181818526,September
2024-08-22,0.006567366929,2024,8,235,0.218125,0.019474800567473263,8,0.7892000000003331,August
2023-06-23,0.006558087453,2023,6,174,0.5214692357647123,0.14431807990275813,30,0.8278133333336494,June
2024-07-05,0.006530514946,2024,7,187,0.5605594933581755,0.09991068289948304,33,0.8249333333336593,July
2023-08-15,0.006429917679,2023,8,227,0.15367851859027593,0.02944591143846497,20,0.8683400000002471,August
2024-07-15,0.006414891999,2024,7,197,0.37794211565227753,0.0817844750010571,25,0.8739360000001402,July
2022-08-02,0.006404942541,2022,8,214,0.3458818065082344,0.06884889332347303,15,0.8721866666668905,August
2022-06-04,0.006388933287,2022,6,155,0.6166897353194268,0.050068497170028876,6,0.7734666666670201,June
2023-06-22,0.006381603639,2023,6,173,0.333,,1,0.8748000000006364,June
2022-07-14,0.006340748658,2022,7,195,0.45345003857801225,0.0898233398696134,23,0.8770782608697505,July
2022-09-30,0.006261180336,2022,9,273,0.16944444444444443,0.030704686576771594,9,0.8329333333335005,September
2024-08-29,0.006235300702,2024,8,242,0.502900352103743,0.1747939903570601,51,0.8638745098041579,August
2022-07-31,0.006190930319,2022,7,212,0.39623675474793146,0.10249169335015597,27,0.8416444444446509,July
2022-09-08,0.006190744826,2022,9,251,0.1972,0.020032196307167342,10,0.8206400000004456,September
2022-08-12,0.006113453539,2022,8,224,0.32239497251582505,0.10344315687758406,33,0.8714303030305107,August
2023-06-25,0.006065928176,2023,6,176,0.32825000000000004,0.03547181980107586,4,0.8033000000000791,June
2022-08-03,0.006037248618,2022,8,215,0.34076923076923077,0.04243063721368056,13,0.8553846153848639,August
2023-09-19,0.005997979256,2023,9,262,0.6823333333333333,0.22702915692755873,15,0.8721866666668905,September
2022-07-15,0.005970186081,2022,7,196,0.4806283140767105,0.08867523890110304,29,0.8357931034484823,July
2022-07-26,0.005961851224,2022,7,207,0.34941666666666665,0.04665825140575271,12,0.8433333333336025,July
2023-06-02,0.005914847401,2023,6,153,0.34285714285714286,0.04994473135853458,7,0.7930285714290293,June
2023-09-30,0.005811365342,2023,9,273,0.5355000000000001,0.014849242404917471,2,0.9955999999999718,September
2022-08-26,0.005801588909,2022,8,238,0.2285,0.04333484845836077,12,0.8554333333335586,August
2024-08-21,0.005779951755,2024,8,234,0.21885714285714286,0.02065129997061178,7,0.7618285714288952,August
2024-09-02,0.005685134923,2024,9,246,0.2180911601026931,0.03172208722048395,28,0.8558000000002489,September
2023-06-06,0.005614342606,2023,6,157,0.33325,0.052535022332046,8,0.7467000000005098,June
2022-07-02,0.005602748682,2022,7,183,0.5569720619561581,0.033709814844973957,6,0.7152666666673492,July
2022-07-18,0.005546626267,2022,7,199,0.3923,0.02796843458853807,10,0.8584400000001826,July
2022-08-04,0.005340232361,2022,8,216,0.3376923076923077,0.04092347454983228,13,0.8553846153848639,August
2024-08-27,0.005327741817,2024,8,240,0.24712499999999998,0.04395919374016901,8,0.7869500000002991,August
2022-08-01,0.005272863009,2022,8,213,0.35855435932152263,0.08311637503663177,27,0.8600296296298837,August
2023-06-05,0.005271367937,2023,6,156,0.34982346382171425,0.05035277636554105,8,0.7467000000005098,June
2022-08-27,0.005129730732,2022,8,239,0.21971428571428572,0.03862518300156987,7,0.7685142857147981,August
2022-07-30,0.005124801242,2022,7,211,0.39488957078878034,0.07144242989896704,26,0.8553846153848639,July
2024-08-20,0.00506009705,2024,8,233,0.24416666666666667,0.08899012543109726,12,0.8449333333335693,August
2022-07-23,0.005051090354,2022,7,204,0.35414285714285715,0.0412368305095844,7,0.7685142857147981,July
2024-09-28,0.005041097326,2024,9,272,0.5737956924780386,0.1160614876153231,18,0.8633777777781364,September
2024-09-14,0.005006671174,2024,9,258,0.1831111111111111,0.0336096877568226,9,0.7935111111114294,September
2024-07-06,0.004970457627,2024,7,188,0.381225618467845,0.03529996893864364,8,0.8649000000003616,July
2024-09-07,0.004904404032,2024,9,251,0.2030705012574969,0.032794974187265326,32,0.8693750000002469,September
2023-09-22,0.004869818111,2023,9,265,0.4242374673414485,0.10003894684755785,32,0.8627875000002577,September
2022-06-26,0.00483608633,2022,6,177,0.6032752613015746,0.05212692776430001,35,0.8328571428574219,June
2024-06-21,0.004784734808,2024,6,173,0.44034742284752754,0.2184552771592719,24,0.8554333333335586,June
2023-07-02,0.004773315619,2023,7,183,0.33411815795209293,0.09333035859628198,31,0.832787096774487,July
2024-09-25,0.004764937921,2024,9,269,0.06018449049011756,0.03168525187212524,20,0.8866200000002434,September
2023-08-10,0.004755301366,2023,8,222,0.148375,0.013265826127955349,8,0.8951500000000557,August
2023-09-07,0.004749652589,2023,9,250,0.2023209557331067,0.09609976224557268,7,0.9466285714287503,September
2023-06-07,0.004743807435,2023,6,158,0.4253833456541007,0.09930160993109598,21,0.8345714285717601,June
2022-07-17,0.004728880488,2022,7,198,0.3631278511929028,0.11451376947560359,22,0.8834727272729033,July
2024-07-02,0.004727484081,2024,7,184,0.35860000000000003,0.029871390995398924,5,0.8436800000003789,July
2023-09-13,0.004642039391,2023,9,256,0.1355,0.028384267943117127,4,0.9522000000001496,September
2024-06-19,0.004588422136,2024,6,171,0.6500556182370542,0.06469503033825004,14,0.891371428571726,June
2023-09-06,0.004577684849,2023,9,249,0.16275,0.029227555491350962,4,0.9522000000001496,September
2024-09-17,0.004561318842,2024,9,261,0.3380301437117574,0.09661323358046281,5,0.6833600000006919,September
2024-09-15,0.004467911302,2024,9,259,0.19883333333333333,0.030850715820976773,6,0.7346666666672338,September
2023-06-30,0.004466447979,2023,6,181,0.3644576501222139,0.07190851500312712,6,0.7517333333336377,June
2024-08-30,0.004458229898,2024,8,243,0.21861538461538463,0.0426957032606687,13,0.8553846153848639,August
2023-08-14,0.004448226153,2023,8,226,0.16837002853656005,0.03065248165344807,19,0.858063157894956,August
2022-07-29,0.00442728501,2022,7,210,0.35033333333333333,0.04695516881864957,12,0.8433333333336025,July
2022-09-19,0.004411776578,2022,9,262,0.19419999999999998,0.019408760908414518,5,0.9419999999998565,September
2022-09-18,0.004388895518,2022,9,261,0.22549999999999998,0.021920310216782982,2,0.9026000000002818,September
2024-09-26,0.004378195421,2024,9,270,0.5736689315523461,0.0676867290103223,7,0.9670285714286705,September
2024-06-20,0.004374897663,2024,6,172,0.3683806248679665,0.2470096353579477,2,0.6486000000007548,June
2022-09-10,0.004362331418,2022,9,253,0.1921877917266877,0.01967904225548371,26,0.8864769230771397,September
2024-09-24,0.004344044587,2024,9,268,0.28469569215018903,0.09228821057168052,8,0.9037000000002434,September
2022-09-17,0.004336788048,2022,9,260,0.22449999999999998,0.021920310216782982,2,0.9026000000002818,September
2024-08-26,0.004320175429,2024,8,239,0.23132233919783904,0.058565610329540704,15,0.7597866666669411,August
2022-09-24,0.004311279964,2022,9,267,0.14439305715697962,0.06779821514600702,8,0.7751000000002035,September
2022-06-20,0.004293669293,2022,6,171,0.5618152432030206,0.11219295276913042,5,0.932720000000225,June
2022-06-27,0.004290021636,2022,6,178,0.5963732823295161,0.06357267311314704,45,0.8406133333335974,June
2022-08-06,0.004277614557,2022,8,218,0.3711782935458513,0.07563489765430974,16,0.7926250000003852,August
2022-07-22,0.004271358085,2022,7,203,0.3115754016430849,0.10437364609033904,26,0.8398307692310547,July
2022-07-10,0.004254153561,2022,7,191,0.39585714285714285,0.02068355684618879,7,0.892285714286021,July
2024-07-08,0.004226500898,2024,7,190,0.4984766252741447,0.1028056318745689,39,0.8518256410258898,July
2023-09-08,0.004189153355,2023,9,251,0.13524999999999998,0.028651643350193136,4,0.9522000000001496,September
2022-06-25,0.004187589205,2022,6,176,0.4373952533875422,0.11167911001633964,15,0.7769600000002962,June
2022-08-05,0.004167354937,2022,8,217,0.3438181818181818,0.041947152899376144,11,0.8422909090911549,August
2022-07-16,0.004163584992,2022,7,197,0.3858886986897897,0.03801632683185395,16,0.817900000000336,July
2022-07-07,0.004145275211,2022,7,188,0.3848,0.02725252281899787,5,0.8760000000003135,July
2024-09-16,0.004133973945,2024,9,260,0.45193337954925183,0.18600088696981926,26,0.8618000000002759,September
2022-07-25,0.00409435239,2022,7,206,0.33053097019387323,0.05912375894779739,16,0.8011750000003713,July
2022-07-24,0.004081981854,2022,7,205,0.44351503760116645,0.08766517455970285,21,0.845104761904938,July
2023-09-12,0.004072115347,2023,9,255,0.19238419648737629,0.12520180416443807,11,0.8638545454548819,September
2023-07-01,0.004064570529,2023,7,182,0.292,0.06043414361340545,8,0.7734500000003491,July
2024-06-25,0.00406250612,2024,6,177,0.6046567384532735,0.07106758509812001,42,0.8381904761907589,June
2024-06-13,0.004053666256,2024,6,165,0.6329387308083875,0.048698845794759686,32,0.8603000000002129,June
2024-09-04,0.003995466449,2024,9,248,0.21141442981817304,0.04529804110604847,33,0.8212000000002816,September
2022-09-22,0.003982020987,2022,9,265,0.12823301249004512,0.04889190962121235,27,0.867733333333554,September
2023-08-12,0.003947486267,2023,8,224,0.14825,0.01300274696252405,8,0.8951500000000557,August
2022-07-21,0.003892610923,2022,7,202,0.4537797754149842,0.1022470191498189,30,0.8630533333335364,July
2024-06-08,0.003873381235,2024,6,160,0.6773035207469967,0.07276012619203284,35,0.8537714285717004,June
2023-09-14,0.003832092721,2023,9,257,0.1824518349801869,0.03558071062574985,31,0.870567741935767,September
2022-07-08,0.00378479451,2022,7,189,0.4064,0.023638950907347817,5,0.8760000000003135,July
2024-08-31,0.003769320154,2024,8,244,0.37153602882888853,0.16776826052595728,38,0.8337578947371227,August
2024-06-07,0.003758767491,2024,6,159,0.6145947296144831,0.09621075238482311,44,0.8538909090911428,June
2024-09-19,0.003742782284,2024,9,263,0.17737050358261405,0.05373975919855981,9,0.9173777777780445,September
2022-07-19,0.003742779765,2022,7,200,0.3883935690951243,0.05572042862850984,15,0.8647466666669125,July
2022-07-13,0.003728065647,2022,7,194,0.397,0.027968235951204037,10,0.8584400000001826,July
2022-07-27,0.00371751354,2022,7,208,0.3655326676289682,0.059190269128068775,14,0.8539714285717255,July
2022-07-09,0.003701258506,2022,7,190,0.3954285714285714,0.021133363376875127,7,0.892285714286021,July
2022-08-31,0.003693126212,2022,8,243,0.17489456140118126,0.047330977420077296,28,0.8595714285717211,August
2022-07-20,0.0036792739,2022,7,201,0.381,0.03305887004857983,10,0.8311200000002632,July
2023-09-09,0.003663082982,2023,9,252,0.17128080491430211,0.03538238461076983,15,0.9583200000000273,September
2023-08-11,0.003627881324,2023,8,223,0.14825,0.013349692345304656,8,0.8951500000000557,August
2023-08-13,0.003572281982,2023,8,225,0.15365016441607732,0.03859961594911444,19,0.8875157894738371,August
2022-07-28,0.003530013288,2022,7,209,0.3648266325841413,0.06527156246839844,21,0.8354095238097783,July
