variable,coefficient,standard_error,t_statistic,p_value
intercept,0.44285255327330253,0.006998364338499813,63.279436715956045,0.0
bc_aod,-1.6466400240588674,0.17736710513947893,-9.28379601597474,0.0
temperature,-0.007572335687905829,0.0006062658916901314,-12.4901232144132,0.0
snowfall,-0.0015572596554305207,0.0016013452231832172,-0.9724696666812035,0.3309257840448565
rainfall,-0.004225497893761143,0.0008307919207876488,-5.086108552614565,3.969815804971688e-07
