variable,correlation_r,correlation_p,r_squared
bc_aod,-0.26877216724859354,3.702344688532648e-37,0.07223847788750594
temperature,-0.30072731659779695,1.626336411715546e-46,0.0904369189481116
snowfall,0.05576484361574672,0.009436145719662132,0.0031097177834886877
rainfall,-0.08863958775782094,3.6108564678436796e-05,0.00785697651787644
