method,r_squared,rmse,bias,correlation,n_samples,r2_rank,rmse_rank,bias_rank,overall_rank
MOD09GA,0.4139319818448367,0.17728893541555169,0.07517660252676646,0.6433754594673601,501,1.0,1.0,1.0,1.0
MOD10A1,0.3999958786480484,0.1785551479908546,0.07839331619537275,0.6324522738104816,389,2.0,2.0,2.0,2.0
MCD43A3,0.1466328609229421,0.2589940592864903,0.1887512664640324,0.3829267043742733,987,3.0,3.0,3.0,3.0
