,n_samples,r,p,r_squared,rmse,mae,bias,med_abs_error,std_error,mean_rel_bias,mean_abs_rel_error,slope,intercept,slope_stderr,mean_obs,mean_pred,std_obs,std_pred,within_5pct,within_10pct,within_15pct
MCD43A3,1190.0,0.43486986403691963,4.439693757927553e-56,0.18911179864748898,0.267185614987731,0.22129406352517697,-0.1974915002761011,0.2089230769230769,0.17995905138410456,-27.005078068220584,40.86079901972533,1.0400656191704885,0.18494708572734592,0.062484701309059025,0.5105882352941177,0.31309673501801655,0.19981038960565792,0.08354426428428365,4.033613445378151,7.815126050420168,12.352941176470589
MOD09GA,615.0,0.608605673525542,1.3666520310223498e-63,0.37040086584747856,0.180380762697789,0.13425049172811201,-0.07621581002370373,0.09582096918461538,0.163488133679074,-6.068584946262594,30.472197319085566,0.6673437907973511,0.21678998292138002,0.0351411080389994,0.49879674796747964,0.42258093794377594,0.1924540261583172,0.17551465051145249,12.520325203252034,24.715447154471544,36.7479674796748
MOD10A1,490.0,0.6125115858056225,8.605012078570928e-52,0.37517044274611844,0.18817845651796103,0.13746664333399028,-0.09306154525746363,0.09851648351648347,0.16355635203737945,-10.619995437886999,28.786321845562817,0.6453223542645916,0.2458116836914918,0.037699298875074415,0.523734693877551,0.43067314862008743,0.1903673436570168,0.18068830682588546,14.489795918367346,26.122448979591837,39.38775510204081
