scale,n_observations,r_squared,adjusted_r_squared,dalpha_dt,benchmark_deviation,benchmark_ratio
daily,2166,0.14178599978883832,0.14019745004295925,-0.007572335687905829,0.03242766431209417,0.18930839219764573
jja_annual,23,0.659447088635114,0.5837686638873616,-0.0007667804254519184,0.03923321957454808,0.01916951063629796
decade1,10,0.431523541563682,-0.023257625185372444,-0.011029130994695324,0.028970869005304677,0.2757282748673831
decade2,13,0.7288722079030007,0.5933083118545011,0.0041617446991778495,0.04416174469917785,-0.10404361747944624
