date,bc_aod_regional,temperature_c,total_precip_mm,snowfall_mm,rainfall_mm,year,month,day_of_year,albedo_mean,albedo_std,pixel_count,glacier_fraction_mean,season
2023-07-15,0.127825769,13.88202248,1.175507903,0.0,1.175507903,2023,7,196,0.19374272541958987,0.04280598502892408,25,0.8496960000002598,July
2023-08-18,0.1251576069,16.31034749,4.055202007,0.0,4.055202007,2023,8,230,0.16666666666666666,0.01751190071541826,6,0.9872666666667302,August
2024-07-25,0.1084101654,14.58621941,2.932679653,0.0,2.932679653,2024,7,207,0.349,0.03098745265784558,10,0.8407600000003917,July
2023-07-14,0.1038772534,11.86190948,3.46865654,0.0,3.46865654,2023,7,195,0.2194741666105143,0.030333856850232422,20,0.8507000000002212,July
2023-08-04,0.08374926659,14.7893781,3.528052568,0.0,3.528052568,2023,8,216,0.16085664057463142,0.037826789180015336,26,0.8363230769233121,August
2022-09-04,0.07129529041,16.15122948,0.000851,0.0,0.000851,2022,9,247,0.16734181485146873,0.0342188365329457,37,0.8518270270273658,September
2023-07-13,0.06852174717,11.21918958,9.249105275,0.0,9.249105275,2023,7,194,0.22033333333333335,0.027280806884005904,12,0.8435333333336054,July
2022-09-13,0.06599456428,9.647883987,5.88068366,0.0,5.88068366,2022,9,256,0.1794,0.021454603235669497,5,0.739760000000542,September
2024-08-03,0.06251925619,17.7904335,1.749832982,0.0,1.749832982,2024,8,216,0.267,0.01414213562373096,5,0.851520000000321,August
2023-08-05,0.0593435538,11.97271754,4.303330183,0.0,4.303330183,2023,8,217,0.15333333333333332,0.006506407098647721,3,0.9508000000001652,August
2023-08-21,0.05890933096,9.970956421,4.007703066,0.0,4.007703066,2023,8,233,0.150125,0.009701803955966135,8,0.9109000000000397,August
2023-08-20,0.05614743521,7.524001694,0.1054435968,0.0,0.1054435968,2023,8,232,0.1973616465076816,0.04521645649518945,38,0.8704631578949266,August
2024-07-26,0.05009686852,8.108741379,0.2266168594,0.0,0.2266168594,2024,7,208,0.3316363636363637,0.03761986902495202,11,0.8476000000002476,July
2023-08-08,0.04826816494,12.48353984,2.01202345,0.0,2.01202345,2023,8,220,0.1505,0.01250142848980524,8,0.8951500000000557,August
2024-07-24,0.04621210878,17.50613556,0.000852,0.0,0.000852,2024,7,206,0.41016237094851543,0.08085374461107546,26,0.836400000000328,July
2023-06-11,0.04551043406,11.85539462,8.103787899,0.0,8.103787899,2023,6,162,0.21199854229795928,0.07192818112592271,16,0.8927750000002955,June
2024-07-23,0.04521744187,18.28513934,0.6555318832,0.0,0.6555318832,2024,7,205,0.3745694008208656,0.07636517826600814,35,0.858857142857403,July
2024-09-09,0.04357062008,13.93718745,0.3464400768,0.0,0.3464400768,2024,9,253,0.19992307692307693,0.035829367699466735,13,0.8553846153848639,September
2023-06-15,0.04200927702,2.187490082,19.06727645,17.00913906,2.058137392,2023,6,166,0.544529576990178,0.1699185200157014,5,0.8750400000003229,June
2023-08-06,0.04183615105,11.93906047,6.389036775,0.0,6.389036775,2023,8,218,0.20388195776794812,0.04266046865209544,16,0.8471250000002825,August
2024-07-27,0.0416895517,8.928777949,0.4811584949,0.0,0.4811584949,2024,7,209,0.33408333333333334,0.035263832446117915,12,0.8440666666669406,July
2022-09-14,0.04066280315,7.529652532,6.738099456,0.0,6.738099456,2022,9,257,0.21904778428305519,0.04290870203919048,14,0.772600000000512,September
2023-07-24,0.04041331211,17.79275093,0.3854721785,0.0,0.3854721785,2023,7,205,0.15147867297695333,0.024624133235271337,17,0.8859058823531792,July
2023-08-19,0.04040224511,6.278574244,1.044988632,0.0,1.044988632,2023,8,231,0.17486200553211378,0.025081080666035982,17,0.8509882352943272,August
2024-07-28,0.03829522047,11.35480207,0.2930849791,0.0,0.2930849791,2024,7,210,0.3354166666666667,0.04496151553037195,12,0.8440666666669406,July
2023-08-03,0.0381434447,16.92602119,0.04524290551,0.0,0.04524290551,2023,8,215,0.11510424807247782,0.039454900638332686,24,0.8592833333336031,August
