date,bc_aod_regional,temperature_c,total_precip_mm,snowfall_mm,rainfall_mm,year,month,day_of_year,albedo_mean,predicted_albedo,residuals,leverage,cooks_distance,studentized_residuals
2022-06-04,0.006388933287,4.107621765,2.023755554,0.0,2.023755554,2022,6,155,0.6166897353194268,0.32877501533770426,0.2879147199817226,0.014469861374678062,0.015111894190480236,2.2685440881306835
2022-06-12,0.003340565374,4.53539238,1.989623904,0.0,1.989623904,2022,6,163,0.5597650521106409,0.3315332931555281,0.22823175895511277,0.013522489805919519,0.00885729389522403,1.7974250615258258
2022-06-20,0.004293669293,5.229751205,3.344103694,0.0,3.344103694,2022,6,171,0.5618152432030206,0.32346298303719795,0.23835226016582262,0.011605064530909516,0.008258319880987589,1.8753068004295468
2022-06-22,0.002766384486,7.273341751,3.558093309,0.0,3.558093309,2022,6,173,0.9149110733311079,0.3172598954311252,0.5976511778999827,0.008127668315903332,0.036109094284678046,4.693947216596811
2022-06-25,0.004187589205,4.322362518,0.197699666,0.006701797247,0.1909978687,2022,6,176,0.4373952533875422,0.33666182622910934,0.10073342715843286,0.015694060324389063,0.002011355978590661,0.7941944844606669
2022-06-26,0.00483608633,7.722070948,0.00429153431,0.0,0.00429153431,2022,6,177,0.6032752613015746,0.32350091617207144,0.27977434512950317,0.008272083381770984,0.008055865694758465,2.197505285504291
2022-06-27,0.004290021636,11.43365377,0.2144366503,0.0,0.2144366503,2022,6,178,0.5963732823295161,0.3096626686978871,0.28671061363162903,0.005151535749145002,0.005235727147982876,2.2484519605184796
2022-07-01,0.007215027725,10.33621305,3.815375642,0.0,3.815375642,2022,7,182,0.5649431806854094,0.2987327068968056,0.2662104737886038,0.004887423815373857,0.004280085679504984,2.087407986119122
2022-07-02,0.005602748682,10.1829951,6.150186062,0.0,6.150186062,2022,7,183,0.5569720619561581,0.2944529488528419,0.2625191131033162,0.008866171339869484,0.007611320204942272,2.062590857569999
2022-07-07,0.004145275211,11.52094739,3.517131514,0.0,3.517131514,2022,7,188,0.3848,0.29947780626384723,0.08532219373615274,0.005264839250450562,0.0004739808753994643,0.6691547857138305
2022-07-08,0.00378479451,11.40330276,2.121843404,0.0,2.121843404,2022,7,189,0.4064,0.30467411743778194,0.10172588256221804,0.00458021706052571,0.0005853330853082746,0.7975292908656751
2022-07-09,0.003701258506,11.04769986,2.458811904,0.0,2.458811904,2022,7,190,0.3954285714285714,0.3051023350705291,0.09032623635804232,0.004661547315682154,0.00046976750980763833,0.7081851786514664
2022-07-10,0.004254153561,10.07228622,0.8702617726,0.0,0.8702617726,2022,7,191,0.39585714285714285,0.31283649193840846,0.0830206509187344,0.00505588055865331,0.0004307629177210687,0.6510361423148746
2022-07-11,0.003038558508,11.04206874,0.0167787075,0.0,0.0167787075,2022,7,192,0.47481097871079847,0.3134880137490575,0.16132296496174098,0.005599418776405497,0.001803346644721402,1.2654174537610015
2022-07-12,0.003254375716,15.56313222,0.02510845655,0.0,0.02510845655,2022,7,193,0.398,0.2961538124845492,0.10184618751545083,0.008867682172792948,0.001145784683024739,0.8001976422679034
2022-07-13,0.003728065647,15.89469744,3.724950897,0.0,3.724950897,2022,7,194,0.397,0.2829755345808159,0.1140244654191841,0.010705059075962526,0.001740204136849448,0.8967129887175863
2022-07-14,0.006340748658,14.36042239,0.001513957976,0.0,0.001513957976,2022,7,195,0.45345003857801225,0.29643330196322343,0.15701673661478882,0.006556470969938788,0.0020042056450871714,1.2322325139745192
2022-07-15,0.005970186081,16.29297218,0.1680329539,0.0,0.1680329539,2022,7,196,0.4806283140767105,0.28917469543894625,0.19145361863776428,0.00943847599580163,0.004314522515686698,1.5046696518189342
2022-07-16,0.004163584992,15.85342687,1.224538684,0.0,1.224538684,2022,7,197,0.3858886986897897,0.2901371016875303,0.09575159700225938,0.008766455531324806,0.0010009922620935312,0.7522744997520253
2022-07-17,0.004728880488,14.76634305,5.064511299,0.0,5.064511299,2022,7,198,0.3631278511929028,0.2817404768703127,0.08138737432259013,0.010488060032257884,0.0008682279792134589,0.639977680407547
2022-07-18,0.005546626267,11.22361526,7.4672997,0.0,7.4672997,2022,7,199,0.3923,0.286605418931237,0.105694581068763,0.012432490900062295,0.0017425956362856268,0.8319316269158579
2022-07-19,0.003742779765,11.84321683,1.413464546,0.0,1.413464546,2022,7,200,0.3883935690951243,0.3052355359821209,0.0831580331130034,0.004672414537508939,0.000399102379986365,0.6519878432287698
2022-07-20,0.0036792739,14.35576337,1.120376819,0.0,1.120376819,2022,7,201,0.381,0.2967655020793381,0.0842344979206619,0.006589014652083456,0.0005797078151908927,0.6610644796371056
2022-07-21,0.003892610923,15.10737063,0.01584168962,0.0,0.01584168962,2022,7,202,0.4537797754149842,0.29700384252593537,0.15677593288904884,0.008005782777966437,0.002446870155046065,1.2312411822119163
2022-07-22,0.004271358085,14.58939323,4.224336096,0.0,4.224336096,2022,7,203,0.3115754016430849,0.2856049082948827,0.025970493348202173,0.00888131244797248,7.461958579976237e-05,0.20404956680596192
2022-07-23,0.005051090354,12.60115903,1.121639554,0.0,1.121639554,2022,7,204,0.35414285714285715,0.301443354831827,0.052699502311030155,0.004753960251740631,0.00016310762827033258,0.4131993165301268
2022-07-24,0.004081981854,15.2149133,0.7995989894,0.0,0.7995989894,2022,7,205,0.44351503760116645,0.2939473714772792,0.14956766612388728,0.007752477591396268,0.002155472677853707,1.174481053132455
2022-07-25,0.00409435239,15.22305196,3.375270963,0.0,3.375270963,2022,7,206,0.33053097019387323,0.2860547973871943,0.044476172806678926,0.008868565051426053,0.00021853061499844113,0.3494460159628967
2022-07-26,0.005961851224,12.46873182,0.9468434591,0.0,0.9468434591,2022,7,207,0.34941666666666665,0.3012000817775088,0.048216584889157865,0.004592365453866915,0.00013185421427607287,0.37801956042018203
2022-07-27,0.00371751354,15.39671733,0.4337966442,0.0,0.4337966442,2022,7,208,0.3655326676289682,0.29488733890356966,0.07064532872539853,0.008259814682056443,0.0005128708277415529,0.5548847695313212
2022-07-28,0.003530013288,17.75237045,0.0329375265,0.0,0.0329375265,2022,7,209,0.3648266325841413,0.28750915088484175,0.07731748169929953,0.013380085204359151,0.0010054978350556181,0.608865086208826
2022-07-29,0.00442728501,20.18051936,0.5083143697,0.0,0.5083143697,2022,7,210,0.35033333333333333,0.2756723515952764,0.07466098173805691,0.02038074320560558,0.00144863641288745,0.5900425744182742
2022-07-30,0.005124801242,17.34657567,1.286206202,0.0,1.286206202,2022,7,211,0.39488957078878034,0.2829881038634914,0.11190146692528896,0.011711761097046216,0.0018373552107269812,0.8804653634687575
2022-07-31,0.006190930319,17.07551028,0.5395650864,0.0,0.5395650864,2022,7,212,0.39623675474793146,0.2847907031597112,0.11144605158822024,0.01086237287868767,0.0016873580563932422,0.8765054782445995
2022-08-01,0.005272863009,18.73036346,0.1696705095,0.0,0.1696705095,2022,8,213,0.35855435932152263,0.2809762008587267,0.07757815846279592,0.01550245199815909,0.001177922358018107,0.6115760315574468
2022-08-02,0.006404942541,16.25462812,0.3538578748,0.0,0.3538578748,2022,8,214,0.3458818065082344,0.28814491822173155,0.05773688828650286,0.009176889574733237,0.0003813086115682429,0.45370505694192287
2022-08-03,0.006037248618,15.00971947,0.7453352213,0.0,0.7453352213,2022,8,215,0.34076923076923077,0.2921498675227199,0.048619363246510894,0.007012427273115079,0.00020571496782654136,0.3816415665074441
2022-08-04,0.005340232361,12.7730938,3.849659376,0.0,3.849659376,2022,8,216,0.3376923076923077,0.29208352790837055,0.045608779783937126,0.005954753172490825,0.00015339633386487076,0.357819238018816
2022-08-05,0.004167354937,7.4808225,3.236806393,0.0,3.236806393,2022,8,217,0.3438181818181818,0.31549853404231354,0.028319647775868262,0.007388764941201108,7.359626724155041e-05,0.22233946894627724
