variable,correlation_r,correlation_p,r_squared
bc_aod,-0.22395253602741805,9.64254344509978e-05,0.05015473839311198
temperature,-0.1569219010863695,0.006640728894190045,0.024624483040560332
snowfall,0.09043554013589343,0.11928256965717036,0.00817858691967079
rainfall,-0.09096284605289492,0.11713507830603653,0.008274239362042662
