fresh_snow_model,lookback_days,r_squared,temp_effect_no_fresh,temp_effect_with_fresh,interaction_coefficient
fresh_snow_1d,1,0.14334873358109357,-0.007234261846955636,-0.0033524450563200865,0.00388181679063555
fresh_snow_2d,2,0.14977955880885185,-0.006459109735787338,-0.004678832710282355,0.0017802770255049838
fresh_snow_3d,3,0.15363503719674598,-0.006011604908026547,-0.005940394333131663,7.12105748948838e-05
