pdd_window,window_days,r_squared,adjusted_r_squared,pdd_coefficient
pdd_3day,3,0.16128418761022612,0.15973172891075416,-0.0031179458474019928
pdd_5day,5,0.18994461104194627,0.1884452026403579,-0.0023236928740622
pdd_7day,7,0.21715830610611397,0.2157092701155654,-0.0019517802218396163
