Timestamp,Albedo
2015-05-11,0.784728538
2015-05-12,0.788392285
2015-05-13,0.78474207
2015-05-14,0.766770186
2015-05-15,0.817804074
2015-05-16,0.856526213
2015-05-17,0.764851492
2015-05-18,0.785681122
2015-05-19,0.828064288
2015-05-20,0.822889144
2015-05-21,0.773215249
2015-05-22,0.754049085
2015-05-23,0.774852264
2015-05-24,0.751758019
2015-05-25,0.821026293
2015-05-26,0.804240962
2015-05-27,0.773687093
2015-05-28,0.741139975
2015-05-29,0.742575274
2015-05-30,0.748925112
2015-05-31,0.744062261
2015-06-01,0.79339807
2015-06-02,0.772765412
2015-06-03,0.754462614
2015-06-04,0.757186377
2015-06-05,0.720899134
2015-06-06,0.715867933
2015-06-07,0.713063506
2015-06-08,0.714619611
2015-06-09,0.743481933
2015-06-10,0.70958378
2015-06-11,0.709908753
2015-06-12,0.705637144
2015-06-13,0.69644161
2015-06-14,0.690074595
2015-06-15,0.732625177
2015-06-16,0.724163826
2015-06-17,0.688405717
2015-06-18,0.713976895
2015-06-19,0.697438399
2015-06-20,0.680521674
2015-06-21,0.70955608
2015-06-22,0.693826462
2015-06-23,0.703622971
2015-06-24,0.709782594
2015-06-25,0.696937992
2015-06-26,0.695775138
2015-06-27,0.692244876
2015-06-28,0.704982073
2015-06-29,0.695560345
2015-06-30,0.690565913
2015-07-01,0.707967292
2015-07-02,0.68238544
2015-07-03,0.785227779
2015-07-04,0.818062859
2015-07-05,0.801183899
2015-07-06,0.715271238
2015-07-07,0.694774695
2015-07-08,0.705200193
2015-07-09,0.693698947
2015-07-10,0.688106154
2015-07-11,0.682678585
2015-07-12,0.681250023
2015-07-13,0.679570715
2015-07-14,0.680165654
2015-07-15,0.671425886
2015-07-16,0.664021431
2015-07-17,0.651786749
2015-07-18,0.653128478
2015-07-19,0.66444042
2015-07-20,0.648709347
2015-07-21,0.653437556
2015-07-22,0.648661907
2015-07-23,0.677576761
2015-07-24,0.634434367
2015-07-25,0.629900804
2015-07-26,0.631342808
2015-07-27,0.630032237
2015-07-28,0.649784606
2015-07-29,0.618790085
2015-07-30,0.613621328
2015-07-31,0.640405317
2015-08-01,0.669201533
2015-08-02,0.60450705
2015-08-03,0.646893465
2015-08-04,0.597632317
2015-08-05,0.585038406
2015-08-06,0.580949005
2015-08-07,0.573933217
2015-08-08,0.610722506
2015-08-09,0.537622277
2015-08-10,0.553223005
2015-08-11,0.726466608
2015-08-12,0.748141025
2015-08-13,0.855512035
2015-08-14,0.702052752
2015-08-15,0.686222033
2015-08-16,0.749104424
2015-08-17,0.71390674
2015-08-18,0.716808411
2015-08-19,0.732264295
2015-08-20,0.6867628
2015-08-21,0.723986978
2015-08-22,0.628924134
2015-08-23,0.6385833
2015-08-24,0.619474653
2015-08-25,0.608647532
2015-08-26,0.587441524
2015-08-27,0.565472025
2015-08-28,0.550730231
2015-08-29,0.537204546
2015-08-30,0.525662868
2015-08-31,0.508592684
2015-09-01,0.52029697
2015-09-02,0.700369528
2015-09-03,0.882722196
2015-09-04,0.910969064
2015-09-05,0.812886049
2015-09-06,0.737987294
2015-09-07,0.719930432
2015-09-08,0.674640755
2015-09-09,0.65239789
2015-09-10,0.604084154
2015-09-11,0.600888256
2015-09-12,0.540661142
2015-09-13,0.50334453
2015-09-14,0.486397316
2015-09-15,0.475137627
2015-09-16,0.48188311
2015-09-17,0.507662444
2015-09-18,0.598907762
2015-09-19,0.706387377
2015-09-20,0.597540297
2015-09-21,0.507496515
2015-09-22,0.5966015
2015-09-23,0.695467045
2015-09-24,0.567248169
2015-09-25,0.557920095
2015-09-26,0.616666941
2015-09-27,0.484319751
2015-09-28,0.453016455
2015-09-29,0.449900788
2015-09-30,0.444193379
2015-10-01,0.442264448
2015-10-02,0.710950918
2015-10-03,0.710252493
2015-10-04,0.560870078
2015-10-05,0.486945806
2015-10-06,0.486721276
2015-10-07,0.447390713
2015-10-08,0.413451111
2015-10-09,0.392568349
2015-10-10,0.382955394
2015-10-11,0.367122679
2015-10-12,0.359164223
2015-10-13,0.358348319
2015-10-14,0.36219525
2015-10-15,0.39260711
2015-10-16,0.427907602
2015-10-17,0.473515982
2015-10-18,0.450288706
2015-10-19,0.621148028
2015-10-20,0.444012933
2015-10-21,0.4365011
2015-10-22,0.406565218
2015-10-23,0.48454375
2015-10-24,0.624344578
2015-10-25,0.76580661
2015-10-26,0.782074343
2015-10-27,0.818004413
2015-10-28,0.93855399
2015-10-29,0.751240871
2015-10-30,0.698707299
2015-10-31,0.661103427
2015-11-01,0.648661304
2015-11-02,0.629411815
2015-11-03,0.640762773
2015-11-04,0.611458233
2015-11-05,0.591119701
2015-11-06,0.560917021
2015-11-07,0.540704171
2015-11-08,0.539495448
2015-11-09,0.762327609
2015-11-10,0.856157957
2015-11-11,0.801183606
2015-11-12,0.846323203
2015-11-13,0.781374328
2015-11-14,0.844648925
2015-11-15,0.78099052
2015-11-16,0.658349424
2015-11-17,0.623099036
2015-11-18,0.610943659
2015-11-19,0.547872881
2015-11-20,0.50956796
2015-11-21,0.48297222
2015-11-22,0.498059433
2015-11-23,0.54495895
2015-11-24,0.614247511
2015-11-25,0.746797618
2015-11-26,0.734067685
2015-11-27,0.68248791
