month,sample_size,pearson_r,pearson_p,r_squared,bc_aod_mean,albedo_mean
June,41.0,-0.31105297470501986,0.04775655095476112,0.09675395307284172,0.009333436956560973,0.44492982166005624
July,88.0,-0.3017669132609256,0.004272904935059556,0.09106326993902698,0.01713539176184091,0.33130151136906205
August,93.0,-0.34001023363638083,0.0008544516685207002,0.11560695897746628,0.017212231260677422,0.2390049610227181
September,76.0,-0.13965332644649106,0.22889946254760418,0.0195030515875702,0.010301875520078949,0.22369269872673472
