date,MCD43A3,MOD09GA,MOD10A1,AWS,glacier_fraction_MCD43A3,glacier_fraction_MOD09GA,glacier_fraction_MOD10A1,glacier_fraction,solar_zenith_MCD43A3,solar_zenith_MOD09GA,solar_zenith_MOD10A1,solar_zenith,ndsi_MCD43A3,ndsi_MOD09GA,ndsi_MOD10A1,ndsi,pixel_id_MCD43A3,pixel_id_MOD09GA,pixel_id_MOD10A1,pixel_id
2002-06-12,,0.6933780484500001,0.69,0.72,,1.0,1.0,1.0,,31.869999999999997,-999.0,31.869999999999997,,0.9054071891,9009.5,0.9054071891,,9428025677.0,9428025677.0,9428025677.0
2002-06-13,,0.68904443155,0.62,0.7,,1.0,1.0,1.0,,28.555,-999.0,28.555,,0.90921640945,9044.5,0.90921640945,,9428025677.0,9428025677.0,9428025677.0
2002-06-14,,0.5149504943500001,0.515,0.69,,1.0,1.0,1.0,,27.43,-999.0,27.43,,0.8786287158,8569.0,0.8786287158,,9428025677.0,9428025677.0,9428025677.0
2002-06-15,,0.7027338902,0.635,0.72,,1.0,1.0,1.0,,29.24,-999.0,29.24,,0.9366078925,9316.5,0.9366078925,,9428025677.0,9428025677.0,9428025677.0
2002-06-21,,0.50514929215,0.6599999999999999,0.69,,1.0,1.0,1.0,,27.3,-999.0,27.3,,0.8421014136,9123.0,0.8421014136,,9428025677.0,9428025677.0,9428025677.0
2002-06-23,,0.50871161015,0.49,0.65,,1.0,1.0,1.0,,27.314999999999998,-999.0,27.314999999999998,,0.85308046055,8382.0,0.85308046055,,9428025677.0,9428025677.0,9428025677.0
2002-06-26,,,0.545,0.57,,,1.0,1.0,,,-999.0,,,,9354.5,9354.5,,,9428025677.0,9428025677.0
2002-06-30,0.498,,,0.84,1.0,,,1.0,-999.0,,,,-999.0,,,,9428025677.0,,,9428025677.0
2002-07-01,0.498,,,0.88,1.0,,,1.0,-999.0,,,,-999.0,,,,9428025677.0,,,9428025677.0
2002-07-02,0.498,,,0.72,1.0,,,1.0,-999.0,,,,-999.0,,,,9428025677.0,,,9428025677.0
2002-07-03,0.45499999999999996,,,0.62,1.0,,,1.0,-999.0,,,,-999.0,,,,9428025677.0,,,9428025677.0
2002-07-04,0.45499999999999996,,,0.66,1.0,,,1.0,-999.0,,,,-999.0,,,,9428025677.0,,,9428025677.0
2002-07-05,0.45499999999999996,,,0.78,1.0,,,1.0,-999.0,,,,-999.0,,,,9428025677.0,,,9428025677.0
2002-07-06,0.45499999999999996,0.66417295325,0.6,0.64,1.0,1.0,1.0,1.0,-999.0,29.049999999999997,-999.0,29.049999999999997,-999.0,0.89566487915,8893.0,0.89566487915,9428025677.0,9428025677.0,9428025677.0,9428025677.0
2002-07-07,0.45499999999999996,0.4749063344,0.54,0.58,1.0,1.0,1.0,1.0,-999.0,28.2,-999.0,28.2,-999.0,0.8193645991,8711.0,0.8193645991,9428025677.0,9428025677.0,9428025677.0,9428025677.0
2002-07-08,0.45499999999999996,,,0.6,1.0,,,1.0,-999.0,,,,-999.0,,,,9428025677.0,,,9428025677.0
2002-07-09,0.376,,,0.54,1.0,,,1.0,-999.0,,,,-999.0,,,,9428025677.0,,,9428025677.0
2002-07-10,0.3765,0.5514764918999999,0.53,0.52,1.0,1.0,1.0,1.0,-999.0,31.105,-999.0,31.105,-999.0,0.921381217,9199.0,0.921381217,9428025677.0,9428025677.0,9428025677.0,9428025677.0
2002-07-11,0.33699999999999997,0.4567394952,,0.55,1.0,1.0,,1.0,-999.0,28.94,,28.94,-999.0,0.8595478595,,0.8595478595,9428025677.0,9430025675.0,,9428025677.0
2002-07-12,0.33799999999999997,0.52542775705,0.5,0.54,1.0,1.0,1.0,1.0,-999.0,32.405,-999.0,32.405,-999.0,0.9056021739,9057.0,0.9056021739,9428025677.0,9428025677.0,9428025677.0,9428025677.0
