variable,correlation_r,correlation_p,r_squared
bc_aod,-0.22395253602741794,9.642543445099945e-05,0.05015473839311193
temperature,-0.1569219010863694,0.0066407288941901935,0.024624483040560297
snowfall,0.09043554013589343,0.11928256965717036,0.00817858691967079
rainfall,-0.09096284605289487,0.11713507830603653,0.008274239362042652
