,f_statistic,p_value,significant,eta_squared,effect_size_interpretation,n_groups,total_n
r,2.219604060986718,0.15932470348686012,False,0.3074412450096827,large,3,13
rmse,6.608750952960877,0.014822537257341395,True,0.5692904413006881,large,3,13
mae,4.035578133452202,0.05188840164406513,False,0.44663197792639064,large,3,13
bias,3.232190014025432,0.08265575377553283,False,0.39262820810970717,large,3,13
