month,sample_size,pearson_r,pearson_p,r_squared,bc_aod_mean,temperature_mean,total_precip_mean,snowfall_mean,rainfall_mean,albedo_mean,temp_albedo_pearson_r,temp_albedo_pearson_p,total_precip_albedo_pearson_r,total_precip_albedo_pearson_p,snow_albedo_pearson_r,snow_albedo_pearson_p,rain_albedo_pearson_r,rain_albedo_pearson_p
June,41.0,-0.31105297470501986,0.04775655095476112,0.09675395307284172,0.009333436956560973,8.215491743258536,3.542324729212683,0.7961119365938294,2.7462127928565856,0.44492982166005624,-0.5513252924229367,0.000187038259648313,-0.17090403697723908,0.2853572010535117,0.05562798814283854,0.7297597011238319,-0.2651634312269675,0.09383423953468306
July,88.0,-0.3017669132609256,0.004272904935059556,0.09106326993902698,0.01713539176184091,13.630229445272727,1.9572622258744203,0.0,1.9572622258744203,0.33130151136906205,0.2082161883394595,0.051569995318199224,-0.1273135558238483,0.2371867865299435,,,-0.1273135558238483,0.2371867865299435
August,93.0,-0.34001023363638083,0.0008544516685207002,0.11560695897746628,0.017212231260677422,12.687170782010755,3.2053155891518172,0.2563165561153764,2.9489990330367637,0.2390049610227181,0.004607425631613455,0.9650385640855956,-0.10075796480337004,0.3365615455603388,-0.007410257787580451,0.943798572545986,-0.11289377567288753,0.28128710393188394
September,76.0,-0.13965332644649106,0.22889946254760418,0.0195030515875702,0.010301875520078949,8.901294175924999,1.9539222818559605,0.25415621501421054,1.6997661708256975,0.22369269872673472,-0.42595277679958254,0.00012491755798649972,0.08966675653968167,0.4411249709992982,0.32292445695047534,0.004438571938799728,-0.028077017642249437,0.8097406821810235
