month,sample_size,pearson_r,pearson_p,r_squared,bc_aod_mean,albedo_mean
June,37.0,-0.2630983797402198,0.11564975190432716,0.06922075742192892,0.009929434083945947,0.41532199310645296
July,88.0,-0.3017669132609256,0.004272904935059556,0.09106326993902698,0.01713539176184091,0.33130151136906205
August,93.0,-0.34001023363638083,0.0008544516685207002,0.11560695897746628,0.017212231260677422,0.2390049610227181
September,74.0,-0.13899952451648845,0.2375605521927048,0.019320867815809873,0.010401801263189191,0.21209902171464048
