method,r_squared,rmse,bias,correlation,n_samples,r2_rank,rmse_rank,bias_rank,overall_rank
MOD09GA,0.4441307888633867,0.14925652779696189,0.12024802390670998,0.6664313834622336,947,2.0,1.0,2.0,1.6666666666666667
MOD10A1,0.25644926897637893,0.15365403961490887,0.08539834904486991,0.5064082038991656,1358,3.0,2.0,1.0,2.0
MCD43A3,0.5288638709180591,0.23282229706917756,0.21258779994790025,0.7272302736534413,1014,1.0,3.0,3.0,2.3333333333333335
