date,MCD43A3,MOD09GA,MOD10A1,AWS,glacier_fraction_MCD43A3,glacier_fraction_MOD09GA,glacier_fraction_MOD10A1,glacier_fraction,solar_zenith_MCD43A3,solar_zenith_MOD09GA,solar_zenith_MOD10A1,solar_zenith,ndsi_MCD43A3,ndsi_MOD09GA,ndsi_MOD10A1,ndsi,pixel_id_MCD43A3,pixel_id_MOD09GA,pixel_id_MOD10A1,pixel_id
2014-09-11,0.4099638554216868,0.5909861514898159,0.6007407407407407,0.760027167,0.8920192771084382,0.9216457142858056,0.9314074074075107,0.8920192771084382,-999.0,33.81314285714286,-999.0,33.81314285714286,-999.0,0.5900097958987705,7924.259259259259,0.5900097958987705,25322026397.0,25322026397.0,25324026399.0,25322026397.0
2014-09-12,0.41293902439024394,0.5501125609001897,0.5644444444444444,0.71611986,0.8949853658537087,0.86773877551027,0.8501777777779659,0.8949853658537087,-999.0,33.068571428571424,-999.0,33.068571428571424,-999.0,0.6114044991450133,7136.333333333333,0.6114044991450133,25322026397.0,25322026397.0,25322026397.0,25322026397.0
2014-09-13,0.43052,0.49209145722020664,0.5191509433962265,0.696420256,0.9069920000000234,0.9160487804878557,0.9517811320754892,0.9069920000000234,-999.0,26.064268292682925,-999.0,26.064268292682925,-999.0,0.6266859243268939,6386.169811320755,0.6266859243268939,25322026397.0,25322026397.0,25323026397.0,25322026397.0
2014-09-14,0.4311588785046729,0.5389310679270751,0.674,0.659960682,0.9131663551402122,0.9223742857142982,0.9451840000000068,0.9131663551402122,-999.0,35.97871428571429,-999.0,35.97871428571429,-999.0,0.7213791750237034,7472.528,0.7213791750237034,25322026397.0,25322026397.0,25322026397.0,25322026397.0
2014-09-15,0.43042857142857144,0.5513485806804156,0.5275174825174825,0.624466546,0.9115238095238355,0.9316479041916391,0.9456167832167909,0.9115238095238355,-999.0,26.321437125748506,-999.0,26.321437125748506,-999.0,0.8056379857650162,8163.4055944055945,0.8056379857650162,25322026397.0,25322026397.0,25324026394.0,25322026397.0
2014-09-16,0.43061818181818184,0.44565875562160745,0.42,0.723091829,0.9151563636363872,0.8716129032258166,0.8235733333332607,0.9151563636363872,-999.0,37.01870967741935,-999.0,37.01870967741935,-999.0,0.27299691618104677,2620.0,0.27299691618104677,25322026397.0,25322026398.0,25323026401.0,25322026397.0
2014-09-17,0.428972972972973,0.5759638139107462,0.5530864197530864,0.714555292,0.9149477477477697,0.9156673684211041,0.9480098765432073,0.9149477477477697,-999.0,27.93347368421053,-999.0,27.93347368421053,-999.0,0.6749285172574099,6945.197530864198,0.6749285172574099,25322026397.0,25322026397.0,25323026399.0,25322026397.0
2014-09-18,0.41175757575757577,,,0.725605409,0.8964404040404318,,,0.8964404040404318,-999.0,,,,-999.0,,,,25322026397.0,,,25322026397.0
2014-09-19,0.4103529411764706,0.5179201424938751,0.5153488372093024,0.654566024,0.8969529411764736,0.9213319999999635,0.9479674418603866,0.8969529411764736,-999.0,27.725700000000003,-999.0,27.725700000000003,-999.0,0.6274224315283796,6075.941860465116,0.6274224315283796,25322026400.0,25322026397.0,25323026401.0,25322026400.0
2014-09-20,0.4033603603603604,0.5219529685097007,0.5608441558441559,0.636565744,0.900962162162164,0.9335034482758656,0.9419766233766349,0.900962162162164,-999.0,21.502988505747126,-999.0,21.502988505747126,-999.0,0.7280066400438581,7382.1558441558445,0.7280066400438581,25322026397.0,25322026397.0,25324026394.0,25322026397.0
2014-09-21,0.4021909090909091,0.5476374694046424,0.6497826086956521,0.616790455,0.9003781818181822,0.9295561290322809,0.9533460869564986,0.9003781818181822,-999.0,31.78451612903226,-999.0,31.78451612903226,-999.0,0.7316374648878208,7484.373913043478,0.7316374648878208,25322026397.0,25322026397.0,25324026399.0,25322026397.0
2014-09-22,0.3987962962962963,,0.37,0.619380968,0.8985333333333337,,0.4503999999994257,0.8985333333333337,-999.0,,-999.0,,-999.0,,3627.0,3627.0,25322026397.0,,25324026403.0,25322026397.0
