,n_samples,r,p,r_squared,rmse,mae,bias,med_abs_error,std_error,mean_rel_bias,mean_abs_rel_error,slope,intercept,slope_stderr,mean_obs,mean_pred,std_obs,std_pred,within_5pct,within_10pct,within_15pct
MCD43A3,1014.0,0.7272302736534413,1.4101749895472397e-167,0.5288638709180591,0.23282229706917756,0.21258779994790025,-0.21258779994790025,0.21682401934507045,0.09493497419749956,-34.22488481677499,34.22488481677499,1.9770307037028751,-0.15646974472195463,0.058657616629151095,0.5903216247613412,0.377733824813441,0.1225301254062505,0.045071437921062184,0.09861932938856016,1.0848126232741617,4.437869822485207
MOD09GA,947.0,0.6664313834622336,1.2284133715533326e-122,0.4441307888633867,0.14925652779696189,0.12414291874785205,-0.12024802390670998,0.1132845785716099,0.08841902417769922,-19.170774103580243,20.098702264304006,0.9258188537377702,0.15456264553057025,0.03369310114390915,0.5828267700285111,0.46257874612180105,0.11829010094549292,0.08514866089054676,8.764519535374868,18.90179514255544,35.1636747624076
MOD10A1,1358.0,0.5064082038991656,2.3927493647475036e-89,0.25644926897637893,0.15365403961490887,0.12174100050642923,-0.08539834904486991,0.10298145383022672,0.12773678354487616,-11.977328802709115,20.161499093109146,0.5513090980241976,0.3146110030607195,0.025492937692437517,0.5962459124933726,0.5108475634485027,0.1336538791837392,0.12276855423601726,15.243004418262151,28.350515463917525,42.34167893961708
