method,condition,n,r,rmse,mae,bias
MCD43A3,with_outliers,987,0.3829267043742733,0.2589940592864903,0.21368946301925024,-0.1887512664640324
MCD43A3,without_outliers,963,0.42367674151634777,0.2574032906740787,0.21387590861889927,-0.18967757009345793
MCD43A3,improvement,24,10.641732915614398,0.6142104636662469,,
MOD09GA,with_outliers,501,0.6433754594673602,0.17728893541555169,0.1253014838859481,-0.07517660252676646
MOD09GA,without_outliers,490,0.6953254955057191,0.16299335639859475,0.11728722619956122,-0.06973462192415306
MOD09GA,improvement,11,8.074606401892835,8.063435534456335,,
MOD10A1,with_outliers,389,0.6324522738104816,0.1785551479908546,0.12790488431876607,-0.07839331619537275
MOD10A1,without_outliers,381,0.6844005914062143,0.16274265145829026,0.11934383202099737,-0.06879265091863518
MOD10A1,improvement,8,8.21379252583719,8.855805453099697,,
