variable,correlation_r,correlation_p,r_squared
bc_aod,-0.22395253602741794,9.642543445099945e-05,0.05015473839311193
temperature,-0.1569219010863694,0.0066407288941901935,0.024624483040560297
total_precip,-0.038208838675121454,0.5111457309211317,0.001459915352901457
snowfall,0.09043554013589343,0.11928256965717036,0.00817858691967079
