variable,coefficient,standard_error,t_statistic,p_value
intercept,0.35932607775681025,0.023077072779244735,15.57069569412565,0.0
bc_aod,-1.39861015865336,0.42284468018553667,-3.307621507830428,0.0010582360237663124
temperature,-0.003761722816533231,0.0018243298093249115,-2.061975196209312,0.04009169840503768
total_precip,-0.003045674499755929,0.0020900559212174707,-1.457221535958619,0.14612611966661193
snowfall,0.008089307230840361,0.004804421744162227,1.6837213012511951,0.09330056773262663
