date,bc_aod_regional,temperature_c,total_precip_mm,snowfall_mm,rainfall_mm,year,month,day_of_year,albedo_mean,predicted_albedo,residuals,leverage,cooks_distance,studentized_residuals
2023-08-20,0.05614743521,7.524001694,0.1054435968,0.0,0.1054435968,2023,8,232,0.1973616465076816,0.25217334877188213,-0.05481170226420054,0.03267249522645317,0.00128365532352441,-0.4359180297458301
2024-07-26,0.05009686852,8.108741379,0.2266168594,0.0,0.2266168594,2024,7,208,0.3316363636363637,0.2580670498793758,0.07356931375698789,0.02521374970728684,0.001757432584181249,0.582854720285825
2023-08-08,0.04826816494,12.48353984,2.01202345,0.0,2.01202345,2023,8,220,0.1505,0.23873014677036478,-0.08823014677036478,0.01585349727656929,0.0015592156850168348,-0.6956734598566467
2024-07-24,0.04621210878,17.50613556,0.000852,0.0,0.000852,2024,7,206,0.41016237094851543,0.2288375284842586,0.18132484246425684,0.020465884369009316,0.008581685946973065,1.4330648239001484
2023-06-11,0.04551043406,11.85539462,8.103787899,0.0,8.103787899,2023,6,162,0.21199854229795928,0.22639651375929606,-0.014397971461336784,0.019117777534638437,5.0404917675939416e-05,-0.11371328006816306
2024-07-23,0.04521744187,18.28513934,0.6555318832,0.0,0.6555318832,2024,7,205,0.3745694008208656,0.22530434160990384,0.14926505921096175,0.020509309187137944,0.005828185125490172,1.179712854052137
2024-09-09,0.04357062008,13.93718745,0.3464400768,0.0,0.3464400768,2024,9,253,0.19992307692307693,0.2449047861575273,-0.044981709234450384,0.014625794323479857,0.000372954289878726,-0.3544489298517708
2023-06-15,0.04200927702,2.187490082,19.06727645,17.00913906,2.058137392,2023,6,166,0.544529576990178,0.371862178731421,0.172667398258757,0.287392753954725,0.20647270731022702,1.5999394181842177
2023-08-06,0.04183615105,11.93906047,6.389036775,0.0,6.389036775,2023,8,218,0.20388195776794812,0.23644324933773453,-0.032561291569786405,0.013701862448242388,0.00018273975567945284,-0.25645774955742817
2024-07-27,0.0416895517,8.928777949,0.4811584949,0.0,0.4811584949,2024,7,209,0.33408333333333334,0.2659656073467158,0.06811772598661753,0.01653182540121325,0.000970481112327287,0.5372770578422547
2022-09-14,0.04066280315,7.529652532,6.738099456,0.0,6.738099456,2022,9,257,0.21904778428305519,0.2536081447717483,-0.034560360488693126,0.01747633253932493,0.0002645985149892566,-0.27272507119030776
